id,employer_id,name,jurisdiction
237,80-0437769-2,LAUNDRY YOURS,"ALMERIA, BILIRAN"
114,80-0456435-3,JEANNE CONVENIENCE STORE,"CABUCGAYAN, BILIRAN"
115,80-0456559-8,BONGZ BARBER SHOP,Cataag St.
71,80-0461463-0,CNF MERCHANDISE AND HARDWARE SUPPLIES VENTURES INC,"CITY OF BAYBAY, LEYTE"
92,80-0459780-9,REDMED PHARMACY,"CITY OF BAYBAY, LEYTE"
109,80-0456946-8,AMINDIWIN CAFETERIA,Don F. Larrazabal Brgy.
75,80-0461760-8,JAYCEES CAKES & PASTRIES CORNER,"ISABEL, LEYTE"
24,80-0469211-5,ELVI-MAY VARIETY STORE,"KANANGA, LEYTE"
73,80-0461682-9,MATT AND VINZ SANCK CORNER,"LEYTE, LEYTE"
23,80-0469232-2,VJR MEAT SHOP,"MERIDA, LEYTE"
264,80-0421637-1,UNIVERSAL SKILLS TRAINING AND ASSESSMENT CENTER INC,San Vidal St.
76,80-0460652-5,PAINTAGON PAINT CENTER,"VILLABA, LEYTE"
